cfg_application,cfg_client_maxrate_kbit,cfg_delay,cfg_run_id,cfg_server_maxrate_kbit,cfg_study_id,cfg_time_limit,req_cnt,webc_max_domEnd,webc_max_levEnd,webc_max_respEnd,webc_mean_domEnd,webc_mean_levEnd,webc_mean_respEnd,webc_median_domEnd,webc_median_levEnd,webc_median_respEnd,webc_min_domEnd,webc_min_levEnd,webc_min_respEnd,webc_std_domEnd,webc_std_levEnd,webc_std_respEnd
webclient,6000,20,20180319_050504_c08d,6000,vagrant,300,133,812,2182,2179.052308,793.939849624,2163.31578947,2160.28197539,794.0,2164.0,2160.154037,781,2153,2150.111266,5.33784811828,5.45296831776,5.48394700967
webclient,9250,120,20180404_035705_ce1b,9250,vagrant,300,128,888,2314,2310.041471,767.21875,1805.2890625,1802.25763809,762.0,1797.0,1793.535289,742,1738,1734.668679,20.7669123472,61.3680179766,61.2601307338
webclient,12000,140,20180404_025513_dcc4,12000,vagrant,300,155,1379,2385,2381.99166,835.948387097,1720.29032258,1717.40521601,832.0,1704.0,1701.186956,805,1669,1666.30691,47.0048444378,63.6971633279,63.7332814158
webclient,6000,140,20180319_054619_7db1,6000,vagrant,300,106,1313,2939,2935.499682,1099.01886792,2696.28301887,2692.04273304,1097.0,2707.5,2704.458967,1001,2514,2511.219124,31.5522869823,55.1633517112,52.514484131
webclient,750,60,20180319_113104_1b18,750,vagrant,600,34,5631,16655,16652.226031,5617.79411765,16622.1176471,16618.5409654,5616.5,16621.0,16617.534027,5610,16591,16587.574692,4.87357467408,9.08704541992,9.06661243264
webclient,10250,160,20180403_191108_b368,10250,vagrant,300,133,1537,2699,2696.353124,948.571428571,2013.18045113,2010.26938568,941.0,1987.0,1983.198725,923,1934,1931.832101,54.917475438,93.0412500148,92.8889769106
webclient,7750,180,20180327_173515_3c24,7750,vagrant,300,116,1236,2620,2616.930533,1067.48275862,2468.0862069,2464.9510669,1063.0,2457.5,2455.004911,1050,2321,2318.455167,22.2863352128,50.6707711716,50.5871011229
webclient,750,200,20180319_104009_cb41,750,vagrant,600,33,5908,17075,17071.738651,5897.84848485,17043.6363636,17040.0120405,5897.0,17042.0,17038.09127,5891,17036,17032.0628,4.65878910084,7.18929415264,7.26960352594
webclient,9250,100,20180404_035156_05f7,9250,vagrant,300,138,810,1875,1872.325552,739.666666667,1774.19565217,1771.3767502,739.0,1760.0,1757.649903,671,1693,1689.034616,21.8547024533,47.529679316,47.5671137453
webclient,8750,120,20180327_214803_c3f3,8750,vagrant,300,145,1349,2481,2478.258405,790.068965517,1910.5862069,1907.86886932,783.0,1910.0,1907.609062,754,1808,1805.65285,49.9511009402,62.7050661988,62.6507894511
